questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_OS_001,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM01_RESPONSIBILITY_IDENTIFICATION,OS_RG_RESPONSIBILITIES,D1,REMEMBER,mcq_single,Two programs are running at the same time. Which of these is the operating system's job?,Checking the spelling of text typed into one of them,Deciding which of them uses the processor next,Working out the answer to a calculation one of them performs,Deciding which of them matters more to the person's work,B,Deciding which of them uses the processor next,"Sharing the processor between programs is the operating system's decision. Spell-checking belongs to the application, the arithmetic is carried out by the processor itself, and how much a program matters to someone is a judgement the operating system has no basis for.",AUTHORED,
GB_OS_002,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM01_RESPONSIBILITY_IDENTIFICATION,OS_RG_RESPONSIBILITIES,D1,REMEMBER,mcq_single,A program is closed. Which of these does the operating system do?,Deletes the files the program created,Removes the program from the machine,Saves whatever the person had not yet saved,Reclaims the memory the program was using,D,Reclaims the memory the program was using,"Memory handed to a program is taken back when it ends, so another program can use it. Closing a program does not delete its files, uninstall it, or save work on the person's behalf — each of those is a separate action somebody has to ask for.",AUTHORED,
GB_OS_003,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM01_RESPONSIBILITY_IDENTIFICATION,OS_RG_RESPONSIBILITIES,D1,REMEMBER,mcq_single,A program asks to save a file. Which part decides where on the storage device the data is actually placed?,The operating system,The program that asked to save it,"The person, through the name they gave the file","The storage device itself, with no software involved",A,The operating system,"The program says what to save and under what name; where those bytes physically land is the operating system's decision, because it is the part that keeps track of what the device already holds. The name the person chose is a label, not a location.",AUTHORED,
GB_OS_004,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM14_OS_RECOGNITION,OS_RG_RESPONSIBILITIES,D1,REMEMBER,mcq_single,Which of these is an operating system?,Firefox,Microsoft Word,Linux,File Explorer,C,Linux,"Linux manages the machine and everything else runs on top of it. A browser and a word processor are plainly applications; a file manager is the harder case, because it arrives with the system and looks like part of it, but it is an application that asks the operating system to do the work.",AUTHORED,
GB_OS_005,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM14_OS_RECOGNITION,OS_RG_RESPONSIBILITIES,D1,REMEMBER,mcq_single,Three of these are operating systems. Which one is not?,Android,File Explorer,Windows,macOS,B,File Explorer,"File Explorer is a program for browsing files; the operating system underneath it is what actually reads the disk. Android, Windows and macOS each manage a machine's resources for every other program on it.",AUTHORED,
GB_OS_006,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM14_OS_RECOGNITION,OS_RG_RESPONSIBILITIES,D1,REMEMBER,mcq_single,A phone runs Android and a laptop runs Windows. What kind of software are both of these?,Applications the owner chose to install,Web browsers,Device drivers,Operating systems,D,Operating systems,"Both manage their machine's processor, memory, storage and devices on behalf of everything else running there, which is what makes something an operating system. A driver is a much smaller piece of software that handles one device, under the operating system.",AUTHORED,
GB_OS_007,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F01_OS_MANAGES_RESOURCES,OS_FAM14_OS_RECOGNITION,OS_RG_RESPONSIBILITIES,D2,REMEMBER,mcq_single,"A machine already has Windows installed. Linux is then installed alongside it, and the person chooses between the two each time the machine starts. Which statement is correct?","Both are operating systems, and only one manages the machine at a time",Linux becomes an application running inside Windows,The machine now has two file managers but still one operating system,Windows must be removed before Linux can manage the machine,A,"Both are operating systems, and only one manages the machine at a time","An operating system takes charge of the whole machine, so two of them cannot be in charge at once — but both can be installed, with the choice made at startup. Neither is running inside the other, and neither has to be removed for the other to work.",AUTHORED,
GB_OS_008,OPERATING_SYSTEMS,OS_C02_PROCESSES,OS_F03_PROCESS_IS_RUNNING_PROGRAM,OS_FAM15_PROCESS_TERM_RECOGNITION,OS_RG_PROCESS_MODEL,D1,REMEMBER,mcq_single,"A text editor is installed on a machine, but nobody has opened it. What is the correct term for the editor as it sits on the disk?",A process,A driver,A program,A directory,C,A program,"On disk it is a program: a stored set of instructions, doing nothing. It only becomes a process once it is loaded and running.",AUTHORED,
GB_OS_009,OPERATING_SYSTEMS,OS_C02_PROCESSES,OS_F03_PROCESS_IS_RUNNING_PROGRAM,OS_FAM15_PROCESS_TERM_RECOGNITION,OS_RG_PROCESS_MODEL,D1,REMEMBER,mcq_single,Someone opens that text editor and it appears on screen. What is the correct term for the copy now running in memory?,A program,A process,A file,An operating system,B,A process,"The running copy is a process — the program in execution, with memory of its own. The program is still on the disk, unchanged, and could be started again as a second process.",AUTHORED,
GB_OS_010,OPERATING_SYSTEMS,OS_C02_PROCESSES,OS_F03_PROCESS_IS_RUNNING_PROGRAM,OS_FAM15_PROCESS_TERM_RECOGNITION,OS_RG_PROCESS_MODEL,D2,REMEMBER,mcq_single,"Which statement uses the terms ""program"" and ""process"" correctly?",A process is stored on disk; a program is that process running in memory,A program and a process are two names for the same thing,A process is a program that has finished running,A program is stored on disk; a process is that program running in memory,D,A program is stored on disk; a process is that program running in memory,"The distinction is between the stored instructions and a running copy of them. Swapping the terms, treating them as synonyms, or attaching ""process"" to something that has ended all lose the one difference the words exist to mark.",AUTHORED,
GB_OS_011,OPERATING_SYSTEMS,OS_C05_FILESYSTEM,OS_F07_FILESYSTEM_ORGANISES,OS_FAM16_FILE_VS_DIRECTORY,OS_RG_FILESYSTEM,D1,UNDERSTAND,mcq_single,What does a directory actually contain?,Entries naming the files and directories inside it,"The data of every file inside it, joined together","Only files, never other directories",A copy of each file inside it,A,Entries naming the files and directories inside it,"A directory holds names and references, not the data itself — which is why moving a file between directories does not touch its contents. Directories can also contain other directories, which is what makes the structure a tree.",AUTHORED,
GB_OS_012,OPERATING_SYSTEMS,OS_C05_FILESYSTEM,OS_F07_FILESYSTEM_ORGANISES,OS_FAM16_FILE_VS_DIRECTORY,OS_RG_FILESYSTEM,D1,UNDERSTAND,mcq_single,Which of these reliably tells you that something is a file rather than a directory?,Its name ends with a dot and an extension,Its name is longer than a directory's would be,Nothing in the name does; the system records which it is,It appears lower down in a listing,C,Nothing in the name does; the system records which it is,"An extension is part of a name and nothing more — a directory may be named with one and a file may have none. Which of the two something is, is recorded by the system, not inferred from how the name looks.",AUTHORED,
GB_OS_013,OPERATING_SYSTEMS,OS_C09_STARTUP,OS_F11_OS_LOADS_BEFORE_APPS,OS_FAM11_STARTUP_DEPENDENCY,OS_RG_STARTUP,D2,APPLY,mcq_single,A machine is switched on and someone immediately tries to open a spreadsheet application. Why can it not start yet?,"The application loads the operating system, and that takes time",The operating system it depends on is not running yet,The application's own files have not been read from the disk yet,The processor has not finished its first calculation,B,The operating system it depends on is not running yet,"An application needs the operating system for everything it does — memory, files, the screen — so it cannot run before the operating system does. The dependency runs one way: the operating system does not wait for the application, and the application does not load it.",AUTHORED,
GB_OS_014,OPERATING_SYSTEMS,OS_C11_INTERFACES,OS_F13_CLI_GUI_SAME_SERVICES,OS_FAM13_INTERFACE_EQUIVALENCE,OS_RG_INTERFACES,D2,UNDERSTAND,mcq_single,"A file can be renamed by typing a command, or by clicking it and typing a new name. What is happening in the two cases?","The typed command changes the file directly, while the click asks the operating system to",Each interface keeps its own separate record of the files,The typed command does something the graphical interface is unable to do,"The same operating system service is asked to do the same thing, in two different ways",D,"The same operating system service is asked to do the same thing, in two different ways","Both are ways of asking the operating system to rename a file, and it is the operating system that does it either way. What differs is how the request is expressed, not what happens underneath or who carries it out.",AUTHORED,
GB_OS_015,OPERATING_SYSTEMS,OS_C11_INTERFACES,OS_F13_CLI_GUI_SAME_SERVICES,OS_FAM13_INTERFACE_EQUIVALENCE,OS_RG_INTERFACES,D3,UNDERSTAND,mcq_single,"Someone is told that a particular task ""can only be done from the command line"". What is the most accurate reading of that claim?","The graphical tools installed happen not to offer it, though the system itself can do it",The operating system refuses to perform that task when a graphical program asks,The task needs privileges that only the command line is granted,"The task changes files, and graphical programs cannot change files",A,"The graphical tools installed happen not to offer it, though the system itself can do it","Both interfaces ask the same operating system for the same services, so a claim like this is about which tools expose the task, not about what the system permits. Nothing about arriving through a graphical program changes what is allowed or what is possible.",AUTHORED,
GB_OS_016,OPERATING_SYSTEMS,OS_C02_PROCESSES,OS_F04_MULTITASKING_IS_INTERLEAVING,OS_FAM04_MULTITASKING_MECHANISM,OS_RG_PROCESS_MODEL,D2,UNDERSTAND,mcq_single,"A machine with one processor core appears to run a browser, a music player and an editor at the same time. What is actually happening?","All three run at the same instant, because one core can handle three things at once",Each program has been given a processor core of its own,The operating system switches between them fast enough that the switching is not noticed,Two are paused entirely until the third is closed,C,The operating system switches between them fast enough that the switching is not noticed,"One core executes one thing at a time, so simultaneity is an appearance produced by switching quickly. If any of the other options were true there would be nothing for a scheduler to decide.",AUTHORED,
GB_OS_017,OPERATING_SYSTEMS,OS_C02_PROCESSES,OS_F04_MULTITASKING_IS_INTERLEAVING,OS_FAM04_MULTITASKING_MECHANISM,OS_RG_PROCESS_MODEL,D3,UNDERSTAND,mcq_single,"On a single-core machine, more and more programs are opened. Every one of them keeps responding, but everything feels slower. What accounts for this?",The processor runs more slowly as the number of programs grows,"The same processor time is now divided among more programs, so each waits longer for its turn",Each new program takes a share of the speed of the machine's memory,"The operating system adds a delay deliberately, to keep the machine stable",B,"The same processor time is now divided among more programs, so each waits longer for its turn","The amount of processor time per second is fixed; opening more programs does not create more of it, it only divides it further, so each program's turn comes round less often. The processor itself has not changed speed, and nothing is being slowed on purpose.",AUTHORED,
GB_OS_018,OPERATING_SYSTEMS,OS_C01_PURPOSE,OS_F02_SHARED_ACCESS_ARBITRATION,OS_FAM02_RESOURCE_ALLOCATION,OS_RG_RESOURCES,D2,ANALYZE,mcq_single,Two programs both ask to use the printer at the same moment. What happens?,"Both print at once, and the pages come out interleaved",The second program's request fails and it reports an error,The two programs agree between themselves which goes first,The operating system lets one use it and makes the other wait,D,The operating system lets one use it and makes the other wait,"Arbitrating between competing requests is the operating system's job, and waiting is the normal outcome — not failure, not interleaved output, and not a negotiation, since the two programs have no way to reach each other.",AUTHORED,
